time_s,truth,sensor_1,sensor_2,sensor_3,estimate,mode
0,20,20.0002460307,20.0597491075,19.9451724289,20.0002460307,0
0.1,20.0199996667,19.8418812989,19.9290655096,19.8216703557,19.8418812989,0
0.2,20.0399973334,20.0520260539,20.3080403825,19.9415560297,20.0520260539,0
0.3,20.0599910004,19.9358960204,20.1579594104,20.131368402,20.131368402,0
0.4,20.0799786684,20.1010615182,19.8938850594,20.0741283039,20.0741283039,0
0.5,20.0999583385,20.2390189774,19.8311154291,20.0084351863,20.0084351863,0
0.6,20.119928013,19.739683465,19.862020465,19.7515810054,19.7515810054,0
0.7,20.1398856947,20.0928674685,19.8863963984,20.1941385664,20.0928674685,0
0.8,20.1598293879,20.1911796053,20.122443199,19.6564774458,20.122443199,0
0.9,20.1797570984,20.0720185192,20.1700569093,20.2024188956,20.1700569093,0
1,20.1996668333,19.8936396802,20.1041161781,20.0039630177,20.0039630177,0
1.1,20.2195566017,20.0577891538,20.4317363264,20.0580496666,20.0580496666,0
1.2,20.2394244146,20.2329200736,20.4163023881,20.122704328,20.2329200736,0
1.3,20.2592682852,20.2369278953,20.2813611139,20.2720246401,20.2720246401,0
1.4,20.2790862293,20.034075064,20.2943142754,20.5508509136,20.2943142754,0
1.5,20.2988762649,19.9894473293,20.4707528026,20.3227470701,20.3227470701,0
1.6,20.3186364132,20.1903423344,20.7187197225,20.4710883556,20.4710883556,0
1.7,20.3383646981,20.0985069177,20.3532679439,20.4537026149,20.3532679439,0
1.8,20.3580591469,20.3203027218,20.4946412003,20.3447556828,20.3447556828,0
1.9,20.37771779,20.5111673021,20.6654223083,20.2425853398,20.5111673021,0
2,20.3973386616,20.4379663837,20.3046771463,20.4227923438,20.4227923438,0
2.1,20.4169197997,20.1794808941,20.3010594804,20.3776806051,20.3010594804,0
2.2,20.4364592462,20.6162120206,20.6655036477,20.1717536877,20.6162120206,0
2.3,20.4559550471,20.2970265739,20.5853357316,20.0574710902,20.2970265739,0
2.4,20.4754052529,20.3827712799,20.4559478677,20.7268082483,20.4559478677,0
2.5,20.4948079185,20.6326886986,20.4293652345,20.4210927397,20.4293652345,0
2.6,20.5141611038,20.4641220237,20.8188669839,20.4285561153,20.4641220237,0
2.7,20.5334628734,20.4727267957,20.6039806868,20.5093087844,20.5093087844,0
2.8,20.5527112971,20.5132544515,20.3298978685,20.5504070035,20.5132544515,0
2.9,20.5719044502,20.4831882056,20.8051300054,20.7025221507,20.7025221507,0
3,20.5910404133,20.5862116907,20.724716618,20.523066503,20.5862116907,0
3.1,20.6101172729,20.8205425446,20.6090373608,20.7267937437,20.7267937437,0
3.2,20.6291331212,20.3709544722,20.698469131,20.2914922978,20.3709544722,0
3.3,20.6480860568,20.2410202678,20.5871906812,20.4681005353,20.4681005353,0
3.4,20.6669741843,20.6997847434,21.1159255096,20.500629548,20.6997847434,0
3.5,20.6857956149,20.5610068976,20.7268764041,20.7843982732,20.7268764041,0
3.6,20.7045484666,20.6692672534,20.6633624005,20.8450410576,20.6692672534,0
3.7,20.7232308639,20.8272123913,20.5164956975,20.7073946002,20.7073946002,0
3.8,20.7418409388,20.7488983086,20.5309440144,20.793808759,20.7488983086,0
3.9,20.7603768302,20.5887855348,20.9547901718,20.7989260128,20.7989260128,0
4,20.7788366846,20.7966979818,20.660631014,20.7551147198,20.7551147198,0
4.1,20.797218656,20.3976693974,20.5709371619,20.8697866158,20.5709371619,0
4.2,20.8155209061,20.3898074978,20.9848426104,20.466301611,20.466301611,0
4.3,20.8337416049,20.9850893054,20.6646421983,20.9895398217,20.9850893054,0
4.4,20.8518789301,20.8780691716,20.5445119421,21.10170868,20.8780691716,0
4.5,20.8699310682,21.1582724993,20.856770087,20.8151478138,20.856770087,0
4.6,20.8878962139,20.8559228207,20.6928657494,21.1076135659,20.8559228207,0
4.7,20.9057725708,20.7971941844,20.8955344882,20.7471132901,20.7971941844,0
4.8,20.9235583511,20.7983437311,20.6680133208,21.1749722138,20.7983437311,0
4.9,20.9412517763,20.9104342617,21.1344361001,20.9439166957,20.9439166957,0
5,20.9588510772,20.8199703717,20.8935140252,20.8468048671,20.8468048671,0
5.1,20.9763544938,20.9779463136,20.9013011258,20.9163701506,20.9163701506,0
5.2,20.9937602757,20.7180453389,20.8323910902,21.3245717854,20.8323910902,0
5.3,21.0110666824,20.8768200392,20.8002479249,21.0785319489,20.8768200392,0
5.4,21.0282719833,21.3097264232,20.7374671228,20.9865676137,20.9865676137,0
5.5,21.0453744579,20.9189639471,20.693170563,21.1923597997,20.9189639471,0
5.6,21.0623723958,21.0576836121,21.0766607647,20.9119101014,21.0576836121,0
5.7,21.0792640975,21.1702209301,20.9714046276,21.0506834558,21.0506834558,0
5.8,21.0960478736,20.8743957151,20.8528273215,21.3631542446,20.8743957151,0
5.9,21.1127220458,21.0113011049,21.1710581171,21.1059639589,21.1059639589,0
6,21.1292849468,21.0410559062,21.0276927527,21.2553014651,21.0410559062,0
6.1,21.1457349202,21.0853613993,21.1154461906,21.1501792316,21.1154461906,0
6.2,21.1620703211,21.3973719851,21.298172516,21.2385903746,21.298172516,0
6.3,21.1782895159,21.0655752372,20.9018957719,21.3681955022,21.0655752372,0
6.4,21.1943908827,21.3876803096,21.1662492029,21.302767651,21.302767651,0
6.5,21.2103728115,21.3666614222,21.376609702,21.3946495061,21.376609702,0
6.6,21.2262337039,21.1351101738,21.5292283005,20.9769150923,21.1351101738,0
6.7,21.2419719741,21.4143165895,21.3407583899,21.4166957968,21.4143165895,0
6.8,21.257586048,21.6333877095,21.5544751427,21.0285506666,21.5544751427,0
6.9,21.2730743644,20.9353400484,21.4364521763,21.0700718813,21.0700718813,0
7,21.2884353745,21.2859542967,21.4563808699,20.9596759042,21.2859542967,0
7.1,21.303667542,20.8816714512,21.3555273461,21.31254472,21.31254472,0
7.2,21.3187693439,21.2696087297,21.3264762967,21.1466662225,21.2696087297,0
7.3,21.33373927,21.0310403886,21.3004082998,21.1393975318,21.1393975318,0
7.4,21.3485758233,21.0198795588,21.4497120375,21.3362960976,21.3362960976,0
7.5,21.36327752,21.4445832274,21.1654185318,21.2316657617,21.2316657617,0
7.6,21.3778428902,21.1780342848,21.2005145168,21.4169244738,21.2005145168,0
7.7,21.3922704773,21.235675554,21.463483735,21.4602216623,21.4602216623,0
7.8,21.4065588384,21.8115910358,21.1280010292,21.584139314,21.584139314,0
7.9,21.4207065448,21.4028089525,21.4179005988,21.1307337805,21.4028089525,0
8,21.4347121818,21.3426734193,21.5833516345,21.4182165074,21.4182165074,0
8.1,21.4485743487,21.4647852228,21.3904310126,21.6794882981,21.4647852228,0
8.2,21.4622916595,21.457997146,21.022208525,21.3238771494,21.3238771494,0
8.3,21.4758627422,21.0821034208,20.8255750591,21.3698396723,21.0821034208,0
8.4,21.4892862399,21.75599821,21.4987102212,21.2547770985,21.4987102212,0
8.5,21.5025608103,21.3144208366,21.7286834563,21.534086135,21.534086135,0
8.6,21.5156851258,21.5252849741,21.504992768,21.5233651781,21.5233651781,0
8.7,21.5286578741,21.6897390034,21.6391713335,21.5717988141,21.6391713335,0
8.8,21.5414777578,21.3329040863,21.6436995108,21.4046283422,21.4046283422,0
8.9,21.5541434951,21.7729126302,21.2999333307,21.5266192998,21.5266192998,0
9,21.5666538193,21.565182162,21.3017247091,21.911048148,21.565182162,0
9.1,21.5790074794,21.8710888328,21.4862907271,21.7333517125,21.7333517125,0
9.2,21.5912032401,21.666938454,21.0684913474,21.6412828433,21.6412828433,0
9.3,21.6032398818,21.5909710658,21.6198833525,21.3878648978,21.5909710658,0
9.4,21.6151162008,21.5612467916,21.5794644481,21.8527350443,21.5794644481,0
9.5,21.6268310096,21.6937164217,21.6257200035,21.9326250092,21.6937164217,0
9.6,21.6383831366,21.5273335506,21.5604970756,21.2750321343,21.5273335506,0
9.7,21.6497714267,21.9635925959,21.8426379003,21.8331410356,21.8426379003,0
9.8,21.660994741,21.7947744303,21.6830244585,21.7040925288,21.7040925288,0
9.9,21.6720519572,21.6216506391,21.6313318721,21.6829126795,21.6313318721,0
10,21.6829419696,21.9853078719,21.79407955,21.6712499445,21.79407955,0
10.1,21.6936636892,21.5777852791,21.5666639918,22.0142046915,21.5777852791,0
10.2,21.7042160439,21.8055535047,21.7177261556,21.6349796755,21.7177261556,0
10.3,21.7145979784,21.492787296,21.7012256669,21.8893295853,21.7012256669,0
10.4,21.7248084545,21.6463010051,21.6793599379,21.6806015842,21.6793599379,0
10.5,21.7348464512,21.7567653248,21.4162442754,21.6877667808,21.6877667808,0
10.6,21.7447109647,21.5738318611,21.9216279712,21.5905912294,21.5905912294,0
10.7,21.7544010085,21.869810358,22.0592884991,21.6916817563,21.869810358,0
10.8,21.7639156138,21.6436003633,21.8022020656,21.7635098082,21.7635098082,0
10.9,21.7732538289,21.5745305594,21.865437712,22.1763570396,21.865437712,0
11,21.7824147201,21.7307923211,21.7418394809,21.5734283154,21.7307923211,0
11.1,21.7913973714,21.8552150617,21.5420021264,21.5700111665,21.5700111665,0
11.2,21.8002008844,22.0561343387,21.6191102725,22.0164723982,22.0164723982,0
11.3,21.8088243788,22.1136959795,21.8606896703,21.9195026593,21.9195026593,0
11.4,21.8172669922,22.207717181,21.7779213118,21.6986658328,21.7779213118,0
11.5,21.8255278805,21.5548816676,21.8338692966,22.1213567227,21.8338692966,0
11.6,21.8336062175,22.0255252938,21.6451879693,21.6625311408,21.6625311408,0
11.7,21.8415011955,21.7406669496,21.899954812,21.8004389101,21.8004389101,0
11.8,21.8492120248,21.8921028139,21.9085599004,21.7894573075,21.8921028139,0
11.9,21.8567379345,21.8487031462,21.8980564099,21.8399439938,21.8487031462,0
12,21.8640781719,21.9647823449,22.2382533266,21.9824726289,21.9824726289,0
12.1,21.8712320031,21.8823941124,21.5340082784,21.9488234203,21.8823941124,0
12.2,21.8781987126,21.4888630303,21.5963918954,22.0491265631,21.5963918954,0
12.3,21.8849776039,22.0262246159,21.8549898042,21.5429753826,21.8549898042,0
