time_s,visible_satellites
0,0
60,1
120,1
180,1
240,1
300,1
360,0
420,0
480,0
540,1
600,2
660,1
720,1
780,1
840,0
900,0
960,0
1020,1
1080,2
1140,2
1200,1
1260,1
1320,0
1380,0
1440,0
1500,1
1560,2
1620,2
1680,2
1740,1
1800,0
1860,0
1920,0
1980,1
2040,1
2100,2
2160,2
2220,2
2280,0
2340,0
2400,0
2460,1
2520,1
2580,2
2640,2
2700,2
2760,0
2820,0
2880,0
2940,0
3000,1
3060,1
3120,1
3180,1
3240,0
3300,0
3360,0
3420,0
3480,1
3540,1
3600,1
3660,1
3720,1
3780,0
3840,0
3900,0
3960,1
4020,1
4080,1
4140,1
4200,1
4260,0
4320,0
4380,0
4440,0
4500,1
4560,1
4620,1
4680,1
4740,0
4800,0
4860,0
4920,0
4980,0
5040,1
5100,1
5160,1
5220,0
5280,0
5340,0
5400,0
5460,0
5520,0
5580,1
5640,0
5700,0
5760,0
5820,0
5880,0
5940,0
6000,0
6060,0
6120,0
6180,0
6240,0
6300,0
6360,0
6420,0
6480,0
6540,0
6600,0
6660,0
6720,0
6780,0
6840,0
6900,0
6960,0
7020,0
7080,0
7140,0
7200,0
7260,0
7320,0
7380,0
7440,0
7500,0
7560,0
7620,0
7680,0
7740,0
7800,0
7860,0
7920,0
7980,0
8040,0
8100,0
8160,0
8220,0
8280,0
8340,0
8400,0
8460,0
8520,0
8580,0
8640,0
8700,0
8760,0
8820,0
8880,0
8940,0
9000,0
9060,0
9120,0
9180,0
9240,0
9300,0
9360,0
9420,0
9480,0
9540,0
9600,0
9660,0
9720,0
9780,0
9840,0
9900,0
9960,0
10020,0
10080,0
10140,0
10200,0
10260,0
10320,0
10380,0
10440,0
10500,0
10560,0
10620,0
10680,0
10740,0
10800,0
10860,0
10920,0
10980,0
11040,0
11100,0
11160,0
11220,0
11280,0
11340,0
11400,0
11460,0
11520,0
11580,0
11640,0
11700,0
11760,0
11820,0
11880,0
11940,0
12000,0
12060,0
12120,0
12180,0
12240,0
12300,0
12360,0
12420,1
12480,0
12540,0
12600,0
12660,0
12720,0
12780,0
12840,1
12900,1
12960,1
13020,0
13080,0
13140,0
13200,0
13260,0
13320,1
13380,1
13440,1
13500,1
13560,0
13620,0
13680,0
13740,0
13800,1
13860,1
13920,1
13980,1
14040,1
14100,0
14160,0
14220,0
14280,1
14340,1
14400,1
14460,1
14520,1
14580,0
14640,0
14700,0
14760,0
14820,1
14880,1
14940,1
15000,1
15060,0
15120,0
15180,0
15240,0
15300,2
15360,2
15420,2
15480,1
15540,0
15600,0
15660,0
15720,0
15780,2
15840,2
15900,2
15960,1
16020,0
16080,0
16140,0
16200,0
16260,1
16320,2
16380,2
16440,2
16500,0
16560,0
16620,0
16680,0
16740,1
16800,1
16860,2
16920,2
16980,0
17040,0
17100,0
17160,0
17220,1
17280,1
17340,1
17400,1
17460,1
17520,0
17580,0
17640,0
17700,1
17760,1
17820,1
17880,1
17940,1
18000,0
18060,0
18120,0
18180,0
18240,1
18300,1
18360,1
18420,1
18480,0
18540,0
18600,0
18660,0
18720,1
18780,1
18840,1
18900,1
18960,0
19020,0
19080,0
19140,0
19200,0
19260,1
19320,1
19380,1
19440,0
19500,0
19560,0
19620,0
19680,0
19740,0
19800,1
19860,1
19920,0
19980,0
20040,0
20100,0
20160,0
20220,0
20280,0
20340,0
20400,0
20460,0
20520,0
20580,0
20640,0
20700,0
20760,0
20820,0
20880,0
20940,0
21000,0
21060,0
21120,0
21180,0
21240,0
21300,0
21360,0
21420,0
21480,0
21540,0
21600,0
21660,0
21720,0
21780,0
21840,0
21900,0
21960,0
22020,0
22080,0
22140,0
22200,0
22260,0
22320,0
22380,0
22440,0
22500,0
22560,0
22620,0
22680,0
22740,0
22800,0
22860,0
22920,0
22980,0
23040,0
23100,0
23160,0
23220,0
23280,0
23340,0
23400,0
23460,0
23520,0
23580,0
23640,0
23700,0
23760,0
23820,0
23880,0
23940,0
24000,0
24060,0
24120,0
24180,0
24240,0
24300,0
24360,0
24420,0
24480,0
24540,0
24600,0
24660,0
24720,0
24780,0
24840,0
24900,0
24960,0
25020,0
25080,0
25140,0
25200,0
25260,0
25320,0
25380,0
25440,0
25500,0
25560,0
25620,0
25680,0
25740,0
25800,0
