time_s,height_m,velocity_mps,thrust_accel_mps2
0,100,-10,4.74665
0.02,99.798988,-10.1012,4.84161144
0.04,99.5959709923,-10.2005007712,4.93548402077
0.06,99.3909867437,-10.2979240908,5.02827845431
0.08,99.1840725875,-10.3934915217,5.12000535468
0.1,98.9752654282,-10.4872244146,5.21067523884
0.12,98.7646017449,-10.5791439098,5.30029852749
0.14,98.5521175964,-10.6692709393,5.38888554592
0.16,98.3378486248,-10.7576262284,5.47644652488
0.18,98.1218300595,-10.8442302979,5.56299160136
0.2,97.9040967219,-10.9291034658,5.64853081946
0.22,97.6846830287,-11.0122658494,5.73307413117
0.24,97.4636229966,-11.0937373668,5.81663139719
0.26,97.2409502455,-11.1735377389,5.89921238776
0.28,97.0166980032,-11.2516864911,5.9808267834
0.3,96.7908991087,-11.3282029555,6.06148417577
0.32,96.5635860165,-11.4031062719,6.14119406838
0.34,96.3347907998,-11.4764153906,6.21996587742
0.36,96.1045451552,-11.548149073,6.29780893249
0.38,95.8728804055,-11.6183258944,6.3747324774
0.4,95.6398275041,-11.6869642448,6.45074567088
0.42,95.4054170384,-11.7540823314,6.52585758738
0.44,95.1696792333,-11.8196981797,6.60007721777
0.46,94.9326439551,-11.8838296353,6.6734134701
0.48,94.6943407151,-11.9464943659,6.74587517032
0.5,94.4547986728,-12.0077098625,6.81747106301
0.52,94.2140466398,-12.0674934412,6.88820981209
0.54,93.9721130829,-12.125862245,6.95810000155
0.56,93.729026128,-12.182833245,7.02715013611
0.58,93.4848135631,-12.2384232422,7.09536864199
0.6,93.239502842,-12.2926488694,7.16276386754
0.62,92.9931210874,-12.3455265921,7.22934408395
0.64,92.7456950944,-12.3970727104,7.29511748593
0.66,92.4972513337,-12.4473033607,7.36009219242
0.68,92.2478159549,-12.4962345168,7.42427624718
0.7,91.9974147898,-12.5438819919,7.48767761953
0.72,91.7460733555,-12.5902614395,7.55030420497
0.74,91.4938168576,-12.6353883554,7.61216382585
0.76,91.2406701932,-12.6792780789,7.67326423201
0.78,90.9866579545,-12.7219457942,7.73361310141
0.8,90.7318044312,-12.7634065322,7.79321804078
0.82,90.4761336142,-12.8036751714,7.85208658626
0.84,90.2196691981,-12.8427664396,7.91022620398
0.86,89.9624345845,-12.8806949156,7.96764429075
0.88,89.7044528851,-12.9174750298,8.02434817462
0.9,89.4457469241,-12.9531210663,8.08034511549
0.92,89.1863392418,-12.9876471639,8.13564230575
0.94,88.926252097,-13.0210673178,8.19024687085
0.96,88.66550747,-13.0533953804,8.24416586989
0.98,88.4041270656,-13.084645063,8.29740629625
1,88.1421323156,-13.1148299371,8.3499750781
1.02,87.8795443818,-13.1439634355,8.40187907905
1.04,87.6163841589,-13.172058854,8.45312509869
1.06,87.3526722769,-13.199129352,8.50371987316
1.08,87.0884291038,-13.2251879545,8.5536700757
1.1,86.8236747487,-13.250247553,8.60298231725
1.12,86.5584290641,-13.2743209067,8.65166314696
1.14,86.2927116486,-13.2974206437,8.69971905276
1.16,86.0265418496,-13.3195592627,8.74715646191
1.18,85.7599387656,-13.3407491334,8.79398174152
1.2,85.4929212493,-13.3610024986,8.8402011991
1.22,85.2255079096,-13.3803314746,8.88582108308
1.24,84.9577171143,-13.3987480529,8.93084758335
1.26,84.6895669928,-13.4162641013,8.97528683177
1.28,84.4210754381,-13.4328913646,9.01914490268
1.3,84.1522601098,-13.4486414666,9.06242781344
1.32,83.883138436,-13.4635259103,9.10514152491
1.34,83.6137276161,-13.4775560798,9.14729194194
1.36,83.3440446229,-13.490743241,9.18888491394
1.38,83.0741062051,-13.5030985427,9.22992623529
1.4,82.8039288895,-13.514633018,9.27042164587
1.42,82.5335289834,-13.5253575851,9.31037683155
1.44,82.2629225771,-13.5352830485,9.34979742467
1.46,81.9921255456,-13.5444201,9.3886890045
1.48,81.7211535514,-13.5527793199,9.42705709774
1.5,81.4500220464,-13.5603711779,9.46490717897
1.52,81.1787462743,-13.5672060343,9.50224467112
1.54,80.9073412726,-13.5732941409,9.53907494593
1.56,80.6358218747,-13.578645642,9.57540332443
1.58,80.3642027126,-13.5832705755,9.61123507735
1.6,80.0924982181,-13.587178874,9.6465754256
1.62,79.8207226257,-13.5903803654,9.68142954073
1.64,79.5488899743,-13.5928847746,9.71580254533
1.66,79.2770141093,-13.5947017237,9.74969951349
1.68,79.0051086847,-13.5958407335,9.78312547125
1.7,78.7331871651,-13.596311224,9.81608539701
1.72,78.4612628277,-13.5961225161,9.84858422194
1.74,78.1893487643,-13.5952838317,9.88062683045
1.76,77.917457883,-13.593804295,9.91221806057
1.78,77.6456029107,-13.5916929338,9.9433627044
1.8,77.3737963946,-13.5889586797,9.97406550847
1.82,77.1020507041,-13.5856103696,10.0043311742
1.84,76.8303780329,-13.5816567461,10.0341643583
1.86,76.5587904009,-13.5771064589,10.0635696731
1.88,76.2872996556,-13.5719680655,10.0925516871
1.9,76.0159174746,-13.5662500317,10.1211149252
1.92,75.744655367,-13.5599607332,10.1492638692
1.94,75.4735246751,-13.5531084558,10.1770029581
1.96,75.2025365766,-13.5457013967,10.2043365885
1.98,74.931702086,-13.5377476649,10.2312691151
2,74.6610320565,-13.5292552826,10.257804851
2.02,74.3905371818,-13.5202321856,10.2839480681
2.04,74.1202279977,-13.5106862242,10.3097029972
2.06,73.8501148838,-13.5006251643,10.3350738289
2.08,73.5802080653,-13.4900566877,10.3600647135
2.1,73.3105176145,-13.4789883934,10.3846797617
2.12,73.0410534526,-13.4674277982,10.4089230444
2.14,72.7718253512,-13.4553823373,10.432798594
2.16,72.5028429342,-13.4428593654,10.4563104037
2.18,72.234115679,-13.4298661573,10.4794624287
2.2,71.9656529183,-13.4164099088,10.5022585859
2.22,71.6974638418,-13.4024977371,10.5247027549
2.24,71.4295574977,-13.388136682,10.5467987776
2.26,71.1619427938,-13.3733337064,10.5685504592
2.28,70.8946284997,-13.3580956972,10.5899615681
2.3,70.6276232481,-13.3424294659,10.6110358363
2.32,70.360935536,-13.3263417491,10.6317769601
2.34,70.0945737264,-13.3098392099,10.6521885998
2.36,69.8285460499,-13.2929284379,10.6722743806
2.38,69.562860606,-13.2756159503,10.6920378925
2.4,69.2975253646,-13.2579081925,10.711482691
2.42,69.0325481673,-13.2398115387,10.730612297
2.44,68.767936729,-13.2213322927,10.7494301974
2.46,68.5036986391,-13.2024766888,10.7679398454
2.48,68.2398413633,-13.1832508919,10.7861446607
2.5,67.9763722444,-13.1636609986,10.8040480297
2.52,67.7132985041,-13.143713038,10.8216533061
2.54,67.450627244,-13.1234129719,10.8389638111
2.56,67.1883654473,-13.1027666957,10.8559828333
2.58,66.9265199799,-13.081780039,10.8727136297
2.6,66.6650975919,-13.0604587664,10.8891594255
2.62,66.4041049184,-13.0388085779,10.9053234143
2.64,66.1435484816,-13.0168351096,10.921208759
2.66,65.8834346911,-12.9945439345,10.9368185912
2.68,65.6237698462,-12.9719405626,10.9521560123
2.7,65.3645601361,-12.9490304424,10.9672240933
2.72,65.1058116421,-12.9258189605,10.9820258753
2.74,64.847530338,-12.902311443,10.9965643696
2.76,64.5897220921,-12.8785131556,11.0108425579
2.78,64.3323926674,-12.8544293045,11.024863393
2.8,64.075547724,-12.8300650366,11.0386297987
2.82,63.8191928193,-12.8054254406,11.0521446701
2.84,63.5633334094,-12.7805155472,11.0654108739
2.86,63.3079748506,-12.7553403298,11.0784312488
2.88,63.0531224003,-12.7299047048,11.0912086053
2.9,62.7987812179,-12.7042135327,11.1037457267
2.92,62.5449563664,-12.6782716181,11.1160453687
2.94,62.2916528131,-12.6520837108,11.12811026
2.96,62.0388754309,-12.6256545056,11.1399431022
2.98,61.7866289994,-12.5989886435,11.1515465705
3,61.5349182059,-12.5720907121,11.1629233138
3.02,61.2837476463,-12.5449652458,11.1740759545
3.04,61.0331218266,-12.5176167267,11.1850070895
3.06,60.7830451635,-12.490049585,11.1957192899
3.08,60.5335219856,-12.4622681992,11.2062151011
3.1,60.2845565347,-12.4342768971,11.2164970438
3.12,60.0361529661,-12.4060799563,11.2265676134
3.14,59.7883153505,-12.377681604,11.2364292807
3.16,59.5410476743,-12.3490860184,11.2460844919
3.18,59.2943538408,-12.3202973285,11.2555356691
3.2,59.0482376714,-12.2913196152,11.26478521
3.22,58.8027029061,-12.262156911,11.2738354889
3.24,58.557753205,-12.2328132012,11.2826888562
3.26,58.3133921488,-12.2032924241,11.291347639
3.28,58.0696232398,-12.1735984713,11.2998141411
3.3,57.8264499032,-12.1437351884,11.3080906435
3.32,57.5838754876,-12.1137063756,11.3161794044
3.34,57.3419032659,-12.0835157875,11.3240826593
3.36,57.1005364367,-12.0531671343,11.3318026216
3.38,56.8597781246,-12.0226640819,11.3393414824
3.4,56.6196313812,-11.9920102522,11.3467014108
3.42,56.3800991865,-11.961209224,11.3538845544
3.44,56.1411844489,-11.9302645329,11.3608930392
3.46,55.9028900068,-11.8991796721,11.3677289697
3.48,55.6652186292,-11.8679580927,11.3743944294
