time_s,true_position_m,measurement_m,estimated_position_m,estimated_velocity_mps,position_sigma_m
0,100,98.5729208639,98.5729208639,0,5
0.2,100.40000246,92.8686069571,95.6648390451,-0.559250891561,3.57002787109
0.4,100.800784845,95.9144955925,95.6869937258,-0.490537593324,3.04290494824
0.6,101.202156202,108.131352017,99.6654483572,2.64867219856,2.85044482404
0.8,101.602097155,105.704990585,101.927221822,4.22819756651,2.80307198819
1,102.000605127,99.9922643667,101.90099845,3.4173108408,2.8005788972
1.2,102.397835367,98.0469735161,101.166323033,2.14176192026,2.79586263984
1.4,102.795173407,93.3261377246,99.0500125447,-0.00760530920608,2.77417729284
1.6,103.197637102,101.229353542,99.7022177267,0.517791434657,2.73566288395
1.8,103.604473789,103.449957526,100.857703411,1.29456360536,2.68505556657
2,104.012111718,103.591839928,101.801195134,1.76870094957,2.62728245506
2.2,104.42286189,103.953902251,102.630097929,2.08066041871,2.56614888878
2.4,104.839022901,99.2299747647,102.090378452,1.54663405294,2.50424701158
2.6,105.260166417,104.928796991,103.005189933,1.89310444329,2.44321390971
2.8,105.684054602,105.490687704,103.86455449,2.15750089667,2.38401854457
3,106.11075104,112.563561229,106.08898065,3.03144272568,2.32718905461
3.2,106.543835937,115.877503209,108.594905415,3.90594750197,2.27297282337
3.4,106.98100348,106.296058345,108.770342844,3.67635030307,2.22144327092
3.6,107.4202671,103.588737344,108.390869446,3.25760255613,2.17256913131
3.8,107.860826923,107.535916274,108.772487669,3.18444108898,2.12625866452
4,108.301327833,105.263221457,108.692887013,2.95557634478,2.08238754133
4.2,108.742191845,105.030022766,108.578124505,2.74366334571,2.0408162273
4.4,109.185824928,108.892574168,109.092287868,2.76637986436,2.00140065615
4.6,109.633666505,104.417144349,108.841973609,2.54667550843,1.96399863168
4.8,110.087013642,113.117547398,109.914826976,2.7555949497,1.92847352044
5,110.548992341,110.029414595,110.406650467,2.77660531763,1.89469623489
5.2,111.018956821,112.268998355,111.146860973,2.86857344348,1.86254614724
