time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,analytic_error_m
0,6921008.4,0,0,0,7588.99376932,0,0
9.55022927755,6920628.91672,72475.3058315,0,-79.4703044118,7588.57765998,0,1.86315666976e-09
19.1004585551,6919490.50849,144942.663929,0,-158.931894009,7587.32937758,0,1.87714066084e-09
28.6506878327,6917593.30015,217394.12743,0,-238.376054933,7585.24905901,0,1.02816876022e-08
38.2009171102,6914937.49975,289821.751215,0,-317.794075237,7582.3369324,0,2.14779958904e-08
47.7511463878,6911523.39852,362217.592779,0,-397.177245839,7578.59331711,0,7.45262667905e-09
57.3013756653,6907351.37088,434573.713103,0,-476.51686148,7574.01862366,0,4.19483434009e-08
66.8516049429,6902421.87431,506882.177521,0,-555.804221678,7568.61335371,0,5.59278398262e-09
76.4018342204,6896735.44939,579135.056593,0,-635.030631678,7562.37810002,0,1.8746294552e-05
85.952063498,6890292.71969,651324.426977,0,-714.187403414,7555.31354635,0,5.20110829939e-05
95.5022927755,6883094.39177,723442.372302,0,-793.265856456,7547.4204674,0,6.22462857501e-05
105.052522053,6875141.255,795480.984022,0,-872.257318959,7538.69972875,0,5.32235800748e-05
114.602751331,6866434.18152,867432.362288,0,-951.153128615,7529.15228672,0,4.70712290058e-05
124.152980608,6856974.12612,939288.616815,0,-1029.94463361,7518.77918831,0,6.69168511106e-05
133.703209886,6846762.1262,1011041.86775,0,-1108.62319356,7507.58157103,0,0.000126271815135
143.253439163,6835799.30162,1082684.24655,0,-1187.18018048,7495.56066284,0,0.00022407268334
152.803668441,6824086.85459,1154207.89682,0,-1265.60697971,7482.71778195,0,0.000344348061744
162.353897718,6811626.06955,1225604.97518,0,-1343.89499087,7469.05433674,0,0.00045945166443
171.904126996,6798418.31298,1296867.65216,0,-1422.03562881,7454.57182555,0,0.000535773935669
181.454356274,6784465.0333,1367988.113,0,-1500.02032452,7439.27183654,0,0.000540884403774
191.004585551,6769767.76067,1438958.55854,0,-1577.84052611,7423.15604753,0,0.00045109480202
200.554814829,6754328.10682,1509771.20609,0,-1655.48769972,7406.2262258,0,0.000258721706221
210.105044106,6738147.76487,1580418.29023,0,-1732.95333045,7388.48422788,0,4.78393675497e-05
219.655273384,6721228.50914,1650892.0637,0,-1810.22892333,7369.9319994,0,0.00037249749059
229.205502661,6703572.19496,1721184.79825,0,-1887.30600421,7350.57157482,0,0.000713720450607
238.755731939,6685180.75848,1791288.78547,0,-1964.17612071,7330.40507724,0,0.000985863991591
