time_s,temperature_k,analytic_temperature_k,heat_flow_w
0,90,90,150
24,90.0179946011,90.0179946011,149.910026995
48,90.0359784086,90.0359784086,149.820107957
72,90.0539514291,90.0539514291,149.730242854
96,90.0719136691,90.0719136691,149.640431655
120,90.0898651349,90.0898651349,149.550674326
144,90.1078058331,90.1078058331,149.460970835
168,90.1257357701,90.1257357701,149.37132115
192,90.1436549523,90.1436549523,149.281725239
216,90.1615633863,90.1615633863,149.192183069
240,90.1794610784,90.1794610784,149.102694608
264,90.1973480351,90.1973480351,149.013259824
288,90.2152242629,90.2152242629,148.923878686
312,90.2330897681,90.2330897681,148.834551159
336,90.2509445573,90.2509445573,148.745277213
360,90.2687886368,90.2687886368,148.656056816
384,90.2866220131,90.2866220131,148.566889935
408,90.3044446925,90.3044446925,148.477776537
432,90.3222566816,90.3222566816,148.388716592
456,90.3400579867,90.3400579867,148.299710067
480,90.3578486141,90.3578486141,148.210756929
504,90.3756285705,90.3756285705,148.121857148
528,90.3933978621,90.393397862,148.03301069
552,90.4111564953,90.4111564952,147.944217524
576,90.4289044765,90.4289044763,147.855477617
600,90.4466418122,90.4466418119,147.766790939
624,90.4643685086,90.4643685083,147.678157457
648,90.4820845723,90.4820845718,147.589577139
672,90.4997900095,90.4997900089,147.501049953
696,90.5174848266,90.5174848259,147.412575867
720,90.53516903,90.5351690293,147.32415485
744,90.5528426261,90.5528426252,147.23578687
768,90.5705056212,90.5705056202,147.147471894
792,90.5881580217,90.5881580206,147.059209892
816,90.6057998339,90.6057998327,146.971000831
840,90.6234310642,90.6234310629,146.882844679
864,90.6410517189,90.6410517176,146.794741405
888,90.6586618044,90.658661803,146.706690978
912,90.676261327,90.6762613255,146.618693365
936,90.6938502931,90.6938502915,146.530748534
960,90.711428709,90.7114287073,146.442856455
984,90.7289965809,90.7289965791,146.355017095
1008,90.7465539153,90.7465539135,146.267230423
1032,90.7641007185,90.7641007166,146.179496408
1056,90.7816369967,90.7816369947,146.091815017
1080,90.7991627563,90.7991627543,146.004186219
1104,90.8166780036,90.8166780015,145.916609982
